id,symbol,name,image,current_price,market_cap,market_cap_rank,total_volume
bittorrent,btt,BitTorrent,https://assets.coingecko.com/coins/images/22457/large/btt_logo.png?1696521780,0.00000107,1040109538,69,39174396
tokenize-xchange,tkx,Tokenize Xchange,https://assets.coingecko.com/coins/images/4984/large/TKX_-_Logo_-_RGB-15.png?1696505519,12.44,995268226,70,19061145
beam-2,beam,Beam,https://assets.coingecko.com/coins/images/32417/large/chain-logo.png?1698114384,0.01975235,977962589,71,33879714
kucoin-shares,kcs,KuCoin,https://assets.coingecko.com/coins/images/1047/large/sa9z79.png?1696502152,9.92,958726854,72,241403
sui,sui,Sui,https://assets.coingecko.com/coins/images/26375/large/sui_asset.jpeg?1696525453,0.84585,932383506,73,193175282
wemix-token,wemix,WEMIX,https://assets.coingecko.com/coins/images/12998/large/wemixcoin_color_200.png?1696512788,2.59,913109816,74,5336556
whitebit,wbt,WhiteBIT Coin,https://assets.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,6.23,897160774,75,8952559
bitget-token,bgb,Bitget Token,https://assets.coingecko.com/coins/images/11610/large/icon_colour.png?1696511504,0.636681,890741601,76,16620292
cheelee,cheel,Cheelee,https://assets.coingecko.com/coins/images/28573/large/CHEEL_%D1%82%D0%BE%D0%BD%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%B2%D0%BE%D0%B4%D0%BA%D0%B0_%283%29.png?1696527561,15.79,849718115,77,5447690
tezos,xtz,Tezos,https://assets.coingecko.com/coins/images/976/large/Tezos-logo.png?1696502091,0.924492,831321382,78,35800085
neo,neo,NEO,https://assets.coingecko.com/coins/images/480/large/NEO_512_512.png?1696501735,11.77,830291017,79,41633988
astar,astr,Astar,https://assets.coingecko.com/coins/images/22617/large/astr.png?1696521933,0.151292,829356327,80,103361350
oasis-network,rose,Oasis Network,https://assets.coingecko.com/coins/images/13162/large/rose.png?1696512946,0.123024,827614232,81,44491798
decentraland,mana,Decentraland,https://assets.coingecko.com/coins/images/878/large/decentraland-mana.png?1696502010,0.447329,825883468,82,51398727
eos,eos,EOS,https://assets.coingecko.com/coins/images/738/large/eos-eos-logo.png?1696501893,0.727797,825858199,83,130738394
kava,kava,Kava,https://assets.coingecko.com/coins/images/9761/large/kava.png?1696509822,0.753161,815071647,84,19793162
gala,gala,GALA,https://assets.coingecko.com/coins/images/12493/large/GALA-COINGECKO.png?1696512310,0.0259744,812488520,85,392708150
binance-usd,busd,BUSD,https://assets.coingecko.com/coins/images/9576/large/BUSDLOGO.jpg?1696509654,1.002,776237468,86,8082023333
helium,hnt,Helium,https://assets.coingecko.com/coins/images/4284/large/Helium_HNT.png?1696504894,5.39,775435757,87,12868562
woo-network,woo,WOO,https://assets.coingecko.com/coins/images/12921/large/WOO_Logos_2023_Profile_Pic_WOO.png?1696512709,0.425823,770965927,88,50742367
bonk,bonk,Bonk,https://assets.coingecko.com/coins/images/28600/large/bonk.jpg?1696527587,0.00001264,767577185,89,233418004
iota,iota,IOTA,https://assets.coingecko.com/coins/images/692/large/IOTA_Swirl.png?1696501881,0.243547,748590125,90,22550801
usdd,usdd,USDD,https://assets.coingecko.com/coins/images/25380/large/UUSD.jpg?1696524513,0.99007,718696587,91,11506266
akash-network,akt,Akash Network,https://assets.coingecko.com/coins/images/12785/large/akash-logo.png?1696512580,3.18,713157601,92,9907315
pancakeswap-token,cake,PancakeSwap,https://assets.coingecko.com/coins/images/12632/large/pancakeswap-cake-logo_%281%29.png?1696512440,2.92,711910056,93,88687103
terra-luna,lunc,Terra Luna Classic,https://assets.coingecko.com/coins/images/8284/large/01_LunaClassic_color.png?1696508486,0.00012138,710712151,94,88492540
fetch-ai,fet,Fetch.ai,https://assets.coingecko.com/coins/images/5681/large/Fetch.jpg?1696506140,0.671574,700769565,95,116184186
dydx,ethdydx,dYdX,https://assets.coingecko.com/coins/images/17500/large/hjnIm9bV.jpg?1696517040,2.58,699022582,96,114184848
xdce-crowd-sale,xdc,XDC Network,https://assets.coingecko.com/coins/images/2912/large/xdc-icon.png?1696503661,0.050044,697550552,97,16991665
frax-ether,frxeth,Frax Ether,https://assets.coingecko.com/coins/images/28284/large/frxETH_icon.png?1696527284,2294.15,695816853,98,3667852
ecash,xec,eCash,https://assets.coingecko.com/coins/images/16646/large/Logo_final-22.png?1696516207,0.0000349,694529819,99,13635846
gatechain-token,gt,Gate,https://assets.coingecko.com/coins/images/8183/large/gate.png?1696508395,5.05,688253762,100,1554873
