id,symbol,name,image,currentPrice,marketCap,marketCapRank,fullyDilutedValuation,totalVolume,priceChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,circulatingSupply,totalSupply,maxSupply,ath,athChangePercentage,athDate,atl,atlChangePercentage,atlDate,roi,lastUpdated,roi/times,roi/currency,roi/percentage
bitcoin-cash-sv,bsv,Bitcoin SV,https://assets.coingecko.com/coins/images/6799/large/BSV.png?1696507128,91.56,1790784239,47,1918522431,293257551,27.27884,373360124,26.34075,19601787.5,21000000,21000000,489.75,-81.14835,2021-04-16T17:09:04.630Z,21.43,330.72914,2023-06-10T04:32:12.266Z,,2024-01-09T03:55:51.358Z,,,
quant-network,qnt,Quant,https://assets.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1696504070,118.12,1717986117,48,1726055834,35435311,8.55483,136869208,8.65649,14544176.164091088,14612493,14612493,427.42,-72.38402,2021-09-11T09:15:00.668Z,0.215773,54604.11803,2018-08-23T00:00:00.000Z,,2024-01-09T03:56:06.971Z,20.953806926764393,eth,2095.380692676439
maker,mkr,Maker,https://assets.coingecko.com/coins/images/1364/large/Mark_Maker.png?1696502423,1843.74,1698889452,49,1805091608,188769967,5.57297,95654586,5.96635,920112.336426501,977631.036950888,1005577,6292.31,-70.689,2021-05-03T21:54:29.333Z,168.36,995.49006,2020-03-16T20:52:36.527Z,,2024-01-09T03:55:52.535Z,,,
sei-network,sei,Sei,https://assets.coingecko.com/coins/images/28205/large/Sei_Logo_-_Transparent.png?1696527207,0.730682,1681025102,50,7308804789,432837399,19.36615,282843163,20.22935,2300000000,10000000000,,0.877895,-16.8862,2024-01-03T21:20:26.826Z,0.095364,665.12447,2023-10-19T08:05:30.655Z,,2024-01-09T03:55:53.259Z,,,
algorand,algo,Algorand,https://assets.coingecko.com/coins/images/4380/large/download.png?1696504978,0.199896,1605212680,51,1605212680,123699630,18.12994,246611259,18.15185,8033391948.03514,8033391948.03514,10000000000,3.56,-94.38004,2019-06-20T14:51:19.480Z,0.087513,128.69104,2023-09-11T19:42:08.247Z,,2024-01-09T03:55:53.392Z,-0.9167099319187051,usd,-91.67099319187051
ordinals,ordi,ORDI,https://assets.coingecko.com/coins/images/30162/large/ordi.png?1696529082,76.06,1597236192,52,1597236192,644160547,16.05197,218904143,15.88181,21000000,21000000,,89.94,-15.25523,2024-01-02T11:30:17.565Z,2.86,2564.10442,2023-09-11T15:22:32.140Z,,2024-01-09T03:55:53.977Z,,,
the-graph,grt,The Graph,https://assets.coingecko.com/coins/images/13397/large/Graph_Token.png?1696513159,0.167668,1572499588,53,1811592769,82822807,9.26857,135417813,9.42311,9364208470.75522,10788004319,10788004319,2.84,-94.1001,2021-02-12T07:28:45.775Z,0.052051,222.08013,2022-11-22T10:05:03.503Z,,2024-01-09T03:56:08.079Z,,,
bittensor,tao,Bittensor,https://assets.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,258.48,1549552888,54,1549552888,14202368,28.6873,375370030,31.96862,6007252,6007252,21000000,394,-34.68358,2023-12-14T20:03:59.063Z,30.83,734.73625,2023-05-14T08:57:53.732Z,,2024-01-09T03:55:32.164Z,,,
render-token,rndr,Render,https://assets.coingecko.com/coins/images/11636/large/rndr.png?1696511529,4.02,1507451840,55,2138312915,188970141,16.04982,210121466,16.19645,374368558.687948,531039932.967948,531039932.967948,8.78,-54.37435,2021-11-21T10:03:19.097Z,0.03665669,10831.98756,2020-06-16T13:22:25.900Z,,2024-01-09T03:56:03.265Z,,,
thorchain,rune,THORChain,https://assets.coingecko.com/coins/images/6595/large/Rune200x200.png?1696506946,4.95,1489978816,56,2477512532,908507831,11.0974,149958210,11.19074,300700561,500000000,500000000,20.87,-76.23682,2021-05-19T00:30:09.436Z,0.00851264,58152.18315,2019-09-28T00:00:00.000Z,,2024-01-09T03:55:56.421Z,129.36592823216932,usd,12936.592823216932
elrond-erd-2,egld,MultiversX,https://assets.coingecko.com/coins/images/12335/large/egld-token-logo.png?1696512162,54.24,1433750702,57,1434030209,44290797,12.77419,163803081,12.89841,26427528,26432680,31415926,545.64,-90.06663,2021-11-23T10:33:26.737Z,6.51,732.99835,2020-10-07T01:44:53.554Z,,2024-01-09T03:56:09.108Z,,,
aave,aave,Aave,https://assets.coingecko.com/coins/images/12645/large/AAVE.png?1696512452,97.14,1428322389,58,1554200608,167687201,7.20906,97694770,7.34201,14704123.84531496,16000000,16000000,661.69,-85.31832,2021-05-18T21:19:59.514Z,26.02,273.31071,2020-11-05T09:20:11.928Z,,2024-01-09T03:55:56.825Z,,,
